,neg,neu,pos,compound
639,0.0,0.789,0.211,0.5873
640,0.0,1.0,0.0,0.0
641,0.0,1.0,0.0,0.0
642,0.091,0.909,0.0,-0.1027
643,0.0,1.0,0.0,0.0
644,0.0,0.611,0.389,0.7906
645,0.0,0.849,0.151,0.4939
646,0.0,0.488,0.512,0.6369
647,0.0,0.868,0.132,0.4939
648,0.084,0.805,0.111,0.1779
649,0.0,0.79,0.21,0.4926
650,0.13,0.87,0.0,-0.34
651,0.0,0.802,0.198,0.4939
652,0.0,1.0,0.0,0.0
653,0.0,1.0,0.0,0.0
654,0.094,0.906,0.0,-0.34
655,0.0,1.0,0.0,0.0
656,0.0,1.0,0.0,0.0
657,0.182,0.718,0.099,-0.3612
658,0.138,0.862,0.0,-0.34
659,0.084,0.734,0.182,0.4215
660,0.0,0.894,0.106,0.0772
661,0.0,0.778,0.222,0.4588
662,0.0,1.0,0.0,0.0
663,0.0,1.0,0.0,0.0
664,0.0,0.752,0.248,0.765
665,0.138,0.862,0.0,-0.34
666,0.0,0.633,0.367,0.8268
667,0.0,0.584,0.416,0.6908
668,0.0,0.828,0.172,0.4404
669,0.0,1.0,0.0,0.0
670,0.0,1.0,0.0,0.0
671,0.0,0.726,0.274,0.6858
672,0.0,1.0,0.0,0.0
673,0.0,0.791,0.209,0.4404
674,0.0,1.0,0.0,0.0
675,0.0,1.0,0.0,0.0
676,0.0,0.761,0.239,0.5719
677,0.375,0.625,0.0,-0.34
678,0.0,1.0,0.0,0.0
679,0.0,1.0,0.0,0.0
680,0.0,0.784,0.216,0.5562
681,0.0,0.775,0.225,0.5399
682,0.383,0.617,0.0,-0.4767
683,0.0,1.0,0.0,0.0
684,0.187,0.725,0.088,-0.4404
685,0.0,1.0,0.0,0.0
686,0.402,0.598,0.0,-0.9022
687,0.104,0.694,0.202,0.5279
688,0.352,0.648,0.0,-0.8271
689,0.0,0.828,0.172,0.4404
690,0.0,1.0,0.0,0.0
691,0.0,0.887,0.113,0.4215
692,0.064,0.936,0.0,-0.0772
693,0.0,1.0,0.0,0.0
694,0.0,0.838,0.162,0.4404
695,0.082,0.562,0.356,0.743
